Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Spectral Slick, vial, Specter, Consumable (Common), "Potions, Scrolls, Spells", 13 GP, "Weapon enchant, Absorb", "When applied to a weapon, add +1d4 Necrotic damage to attacks with that weapon for 1 minute. Alternatively, you can consume all its necrotic energy to add a +2 to hit or spell save DC to cast a Necromancy spell.",??,"Survival, Perception, Investigation, Arcana", "10(x2), 13(x3)", "Ghostlight Express"
Dark Dust, "vial, cloth", Shadow, Consumable (Uncommon), "Potions, Scrolls, Weapons, Armor", 50 GP, "Throw, Sprinkle", "When sprinkled or thrown on the floor, magical darkness spreads from it in a 10 ft radius sphere for 1 minute. If sprinkled on an object that isn't worn or carried, the darkness emanates from it and will disappear if covered with something opaque such as a bowl or helm. If any of this item's area overlaps with bright light or dim light created by a spell level 2 or higher, the darkness disappears. If the area overlaps with bright light or dim light from a spell lower than 2, that other spell is dissipated.",??,"Perception, Investigation, Arcana", 15(x1),"Ghostlight Express"
Haint Hooch Base, vial, Wayward Haint, Consumable (Uncommon), "Potion (Haint Hooch)", 50 GP, Weapon enchant, "When this yet to be fermented Haint Hooch base is applied to a weapon, slashing, bludgeoning and piercing damage which would be resisted by incorporeal entities is not resisted for 1 minute.",??,"Perception, Investigation, Insight, Arcana", "13(x1), 17(x2)","Ghostlight Express, Ghostlight Crashsite"
Wildpyre Claw, pouch, Wildpyre, Consumable (Uncommon), "Potions, Scrolls, Arrowheads, Weapons, Wondrous Items (fire)", 10 GP, "Thrown, Arrowheads", "When thrown, deal 1d4 Fire and 1d4 Necrotic damage. When attached to an arrow or bolt as a Bonus Action, add that damage to the arrow or bolt damage. The claws can otherwise be used as 10 GP of the 100 GP needed in crafting Wildpyre Ammunition (Uncommon)(20)",??,"Survival, Nature, Arcana", "10(x1), 13(x5), 17(x10)", "Ghostlight Express"
Wildpyre Fur, pouch, Wildpyre, Consumable (Uncommon), "Potions, Scrolls, Armor, Shields, Wondrous Items (fire)", 50 GP, "Throw, Sprinkle, Armor enchant", "When sprinkled or thrown on the floor, a fire that gives out 15 ft Bright Light and 15 ft Dim Light occupying a diameter of appears for 1 minute. Creatures entering the fire or starting their turn there take 1d8 Necrotic and 2d6 Fire damage. After taking the damage for the first time, they make a DC 15 Dexterity Saving Throw, and become restrained if failed. When sprinkled on armor or shields, it becomes magically covered in flames for 10 minutes, during which 15 ft of Dim Light emanates from the armor or shield, and when an enemy attacks the wearer with a melee attack they take 1d4 Necrotic and 1d6 Fire damage.",??,"Survival, Nature, Arcana", "13(x1),15(x2),17(x3)","Ghostlight Express"
Soul Coal, pouch, "Soulfire Stoker, Ghostlight Locomotive, House of Horror", Consumable (Uncommon), "Potions, Scrolls, Weapons, Armor, Wondrous Items (fire)", 50 GP, "Weapon enchant, Torch", "When applied to a weapon, add +1d4 Fire and +1d4 Necrotic damage to attacks with that weapon for 10 minutes, and attacks to incorporeal creatures ignore resistances to slashing, bludgeoning or piercing damage. If used on the end of a torch, the fuel lasts for 1 hour, it sheds green-blue Bright Light in a 30 ft radius and Dim Light for an additional 30 ft, and incorporeal creatures illuminated by it become corporeal losing any resistances to slashing, bludgeoning and piercing damage when affected like this.",??,"Survival, Perception, Investigation, Arcana", "13 (x1),17(x2), 20(x3) (Ghostlight Locomotive and House of Horror), Auto Success on Fated Tarot: The Fool (x3) (Ghostlight Locomotive Only)","Ghostlight Express, Ghostlight Crashsite, Wickermoor Village (The old pyethymer place)"
Ghostlight Grease, vial, "Ghostlight Locomotive", Consumable (Rare), "Potions, Scrolls, Weapons, Armor, Wondrous Items (fire)", 500 GP, "Weapon enchant, Armor enchant, Torch, Lantern", "When applied to a weapon, add +1d8 Fire and +1d8 Necrotic damage to attacks with that weapon for 1 hour, and attacks to incorporeal creatures ignore resistances to slashing, bludgeoning or piercing damage. If used on an armor or a shield, it grants resistance to necrotic and fire damage for 1 hour. When used as fuel for a torch or lantern, it temporarily becoems magical for the duration of the fuel (6 hours). Mixing other fuels does not extend this time, but turning the lantern off can be done to save the remaining fuel for later. In the case of a torch it sheds green-blue Bright Light for 30 ft and Dim Light for 30 ft, or Bright Light in a 50 ft radius and Dim Light for an additional 50 ft for a hooded lantern, or 70 ft cone Bright light and 70 ft Dim Light for a bullseye lantern, and incorporeal creatures illuminated by it become corporeal, losing any resistances to slashing, bludgeoning and piercing damage when affected like this.",??,"Survival, Perception, Investigation, Arcana", "15(x1), Auto Success on Fated Tarot: The Fool", "Ghostlight Crashsite"
Random Magic Item (DMG p.327) (Uncommon),-, Ghostlight Locomotive,-,-,-,-,-,??,"Survival, Perception, Investigation, Arcana", "13(x1),17(x2), Auto Success on Fated Tarot: The Fool (x3)","Ghostlight Crashsite, The Crooked House, The Bag"
Whistle of the Vagrant, bag, "Ghostlight Locomotive", Wondrous Item (Rare)(Requires Attunement), -,-,-,"The Whistle of the Vagrant, from the Fated Tarot Reading, with alternate rolling to find options.",??,"Survival, Perception, Investigation, Arcana, Fated Tarot Reading", "17(x1), Auto Success on Fated Tarot: The Fool","Ghostlight Crashsite"
Blessing of the Harvest Charm,pouch,Old Ways Chosen,Consumable (Uncommon),"Potions, Scrolls, Wondrous Items",50 GP,"Crush, Burn","When crushed or burned, allies in a 30 foot emanation from the charm regain 4d4+4 HP",??,"Perception, Investigation, Insight, Religion, Arcana", "13(x1),17(x2)","Moors, Wicker's Vigil"
